Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Hampton Twp (Allegheny Co) Police Dept,PA,12,18432,22,0,2,1,19,147,23,123,1,119.4,0,10.9,5.4,103.1,797.5,124.8,667.3,5.4
Hanover Boro (York Co) Police Dept,PA,12,15373,31,0,6,13,12,609,30,573,6,201.7,0,39,84.6,78.1,3961.5,195.1,3727.3,39
Hanover Twp (Luzerne Co)  Police Dept,PA,12,11085,12,0,3,4,5,265,47,209,9,108.3,0,27.1,36.1,45.1,2390.6,424,1885.4,81.2
Harrisburg City Police Dept,PA,12,49753,727,11,56,388,272,2426,613,1655,158,1461.2,22.1,112.6,779.9,546.7,4876.1,1232.1,3326.4,317.6
Harrison Twp (Allegheny Co) Police Dept,PA,9,10501,3,0,1,1,1,54,8,46,0,,,,,,,,,
Hatfield Twp Police Dept,PA,12,20699,22,0,4,5,13,257,45,201,11,106.3,0,19.3,24.2,62.8,1241.6,217.4,971.1,53.1
Haverford Twp Police Dept,PA,12,48599,25,0,0,8,17,578,72,492,14,51.4,0,0,16.5,35,1189.3,148.2,1012.4,28.8
Hazleton City Police Dept,PA,12,25358,114,3,19,46,46,600,210,344,46,449.6,11.8,74.9,181.4,181.4,2366.1,828.1,1356.6,181.4
Hermitage City Police Dept,PA,12,16159,29,0,1,8,20,543,81,455,7,179.5,0,6.2,49.5,123.8,3360.4,501.3,2815.8,43.3
Hilltown Twp Police Dept,PA,12,15087,17,0,4,2,11,269,27,228,14,112.7,0,26.5,13.3,72.9,1783,179,1511.2,92.8
Hopewell Twp (Beaver Co) Police Dept,PA,12,12594,9,1,3,1,4,209,24,166,19,71.5,7.9,23.8,7.9,31.8,1659.5,190.6,1318.1,150.9
Horsham Twp Police Dept,PA,12,26345,21,0,1,5,15,281,57,215,9,79.7,0,3.8,19,56.9,1066.6,216.4,816.1,34.2
Indiana Boro Police Dept,PA,12,14644,201,0,1,5,195,243,36,201,6,1372.6,0,6.8,34.1,1331.6,1659.4,245.8,1372.6,41
Jefferson Boro (Allegheny Co) Police Dept,PA,12,10658,14,0,0,1,13,81,21,53,7,131.4,0,0,9.4,122,760,197,497.3,65.7
Johnstown City Police Dept,PA,12,22360,131,1,6,31,93,822,285,499,38,585.9,4.5,26.8,138.6,415.9,3676.2,1274.6,2231.7,169.9
Kingston Boro Police Dept,PA,12,13191,22,0,3,13,6,352,67,271,14,166.8,0,22.7,98.6,45.5,2668.5,507.9,2054.4,106.1
Lancaster City (Lancaster Co) Police Dept,PA,12,60155,465,7,37,208,213,2900,439,2351,110,773,11.6,61.5,345.8,354.1,4820.9,729.8,3908.2,182.9
Lancaster Township,PA,12,16302,20,0,2,11,7,429,84,330,15,122.7,0,12.3,67.5,42.9,2631.6,515.3,2024.3,92
Lansdale Boro Police Dept,PA,12,16393,35,1,6,17,11,286,45,230,11,213.5,6.1,36.6,103.7,67.1,1744.6,274.5,1403,67.1
Lansdowne Boro Police Dept,PA,12,10644,30,2,0,18,10,221,66,147,8,281.8,18.8,0,169.1,93.9,2076.3,620.1,1381.1,75.2
Lebanon City Police Dept,PA,12,25662,99,2,6,48,43,696,123,544,29,385.8,7.8,23.4,187,167.6,2712.2,479.3,2119.9,113
Lehigh Twp (Northampton Co) Police Dept,PA,12,10565,13,0,1,0,12,139,23,111,5,123,0,9.5,0,113.6,1315.7,217.7,1050.6,47.3
Limerick Twp Police Dept,PA,12,18213,8,0,1,2,5,462,53,404,5,43.9,0,5.5,11,27.5,2536.6,291,2218.2,27.5
Logan Twp (Blair Co) Police Dept,PA,12,12325,57,1,3,2,51,300,32,260,8,462.5,8.1,24.3,16.2,413.8,2434.1,259.6,2109.5,64.9
Lower Allen Twp Police Dept,PA,12,18222,15,0,4,2,9,268,34,232,2,82.3,0,22,11,49.4,1470.7,186.6,1273.2,11
Lower Burrell City Police Dept,PA,12,11758,12,0,2,2,8,176,43,129,4,102.1,0,17,17,68,1496.9,365.7,1097.1,34
Lower Gwynedd Twp Police Dept,PA,12,11491,9,0,0,0,9,198,37,154,7,78.3,0,0,0,78.3,1723.1,322,1340.2,60.9
Lower Makefield Twp Police Dept,PA,12,32686,16,0,0,2,14,429,90,330,9,49,0,0,6.1,42.8,1312.5,275.3,1009.6,27.5
Lower Merion Twp Police Dept,PA,12,58252,47,0,2,32,13,1034,192,818,24,80.7,0,3.4,54.9,22.3,1775,329.6,1404.2,41.2
Lower Moreland Twp Police Dept,PA,12,13082,8,0,1,3,4,157,30,124,3,61.2,0,7.6,22.9,30.6,1200.1,229.3,947.9,22.9
Lower Paxton Twp Police Dept,PA,12,47578,114,0,12,45,57,1044,165,862,17,239.6,0,25.2,94.6,119.8,2194.3,346.8,1811.8,35.7
Lower Pottsgrove Twp Police Dept,PA,12,12151,26,0,3,3,20,275,54,214,7,214,0,24.7,24.7,164.6,2263.2,444.4,1761.2,57.6
Lower Providence Twp Police Dept,PA,12,25620,45,0,0,3,42,309,47,253,9,175.6,0,0,11.7,163.9,1206.1,183.5,987.5,35.1
Lower Salford Twp Police Dept,PA,12,15073,4,0,0,1,3,69,13,55,1,26.5,0,0,6.6,19.9,457.8,86.2,364.9,6.6
Lower Saucon Twp Police Dept,PA,12,10812,11,0,0,1,10,95,25,64,6,101.7,0,0,9.2,92.5,878.7,231.2,591.9,55.5
Lower Southampton Twp Police Dept,PA,12,18984,25,0,1,4,20,408,67,321,20,131.7,0,5.3,21.1,105.4,2149.2,352.9,1690.9,105.4
Manheim Twp (Lancaster Co) Police Dept,PA,12,38507,29,0,3,11,15,882,97,770,15,75.3,0,7.8,28.6,39,2290.5,251.9,1999.6,39
Manor Twp (Lancaster Co) Police Dept,PA,12,19805,5,0,2,1,2,266,47,208,11,25.2,0,10.1,5,10.1,1343.1,237.3,1050.2,55.5
Marple Twp Police Dept,PA,12,23479,9,0,0,1,8,362,43,314,5,38.3,0,0,4.3,34.1,1541.8,183.1,1337.4,21.3
Mccandless Twp Police Dept,PA,12,28561,9,0,0,5,4,268,39,223,6,31.5,0,0,17.5,14,938.3,136.5,780.8,21
Mckeesport City Police Dept,PA,12,21603,410,10,13,69,318,721,279,409,33,1897.9,46.3,60.2,319.4,1472,3337.5,1291.5,1893.3,152.8
Meadville City Police Dept,PA,12,13638,32,0,1,6,25,357,100,257,0,234.6,0,7.3,44,183.3,2617.7,733.2,1884.4,0
Middletown Twp (Bucks Co) Police Dept,PA,12,45614,39,0,2,19,18,1594,233,1312,49,85.5,0,4.4,41.7,39.5,3494.5,510.8,2876.3,107.4
Mifflin County Regional Police Dept,PA,12,20833,10,0,3,0,7,299,32,257,10,48,0,14.4,0,33.6,1435.2,153.6,1233.6,48
Millcreek Twp (Erie Co) Police Dept,PA,12,53615,50,2,6,22,20,1093,292,771,30,93.3,3.7,11.2,41,37.3,2038.6,544.6,1438,56
Monroeville Municipality Police Dept,PA,12,28491,70,0,0,11,59,420,98,298,24,245.7,0,0,38.6,207.1,1474.1,344,1045.9,84.2
Montgomery Twp (Montgomery Co) Police Dept,PA,12,24981,12,0,0,9,3,423,20,394,9,48,0,0,36,12,1693.3,80.1,1577.2,36
Moon Twp Police Dept,PA,12,24272,21,0,2,3,16,285,52,230,3,86.5,0,8.2,12.4,65.9,1174.2,214.2,947.6,12.4
Mt Lebanon Twp Police Dept,PA,12,33260,15,0,2,4,9,207,44,154,9,45.1,0,6,12,27.1,622.4,132.3,463,27.1
Muhlenberg Twp Police Dept,PA,12,19696,34,0,2,14,18,744,83,632,29,172.6,0,10.2,71.1,91.4,3777.4,421.4,3208.8,147.2
Munhall Boro Police Dept,PA,12,11449,26,1,0,10,15,277,84,166,27,227.1,8.7,0,87.3,131,2419.4,733.7,1449.9,235.8
Murrysville Municipality Police Dept,PA,12,20072,8,0,2,4,2,93,25,68,0,39.9,0,10,19.9,10,463.3,124.6,338.8,0
Nanticoke City Police Dept,PA,12,10473,27,0,3,12,12,366,99,252,15,257.8,0,28.6,114.6,114.6,3494.7,945.3,2406.2,143.2
Nether Providence Twp Police Dept,PA,12,13736,21,1,0,4,16,200,44,154,2,152.9,7.3,0,29.1,116.5,1456,320.3,1121.1,14.6
New Britain Twp (Bucks Co) Police Dept,PA,12,11113,1,0,0,1,0,95,20,74,1,9,0,0,9,0,854.9,180,665.9,9
New Castle City (Lawrence Co) Police Dept,PA,12,23165,356,3,7,76,270,1074,392,643,39,1536.8,13,30.2,328.1,1165.6,4636.3,1692.2,2775.7,168.4
New Hanover Twp Police Dept,PA,12,11024,1,0,1,0,0,73,23,48,2,9.1,0,9.1,0,0,662.2,208.6,435.4,18.1
New Kensington City Police Dept,PA,12,13112,59,0,8,28,23,464,106,324,34,450,0,61,213.5,175.4,3538.7,808.4,2471,259.3
Newberry Twp (York Co) Police Dept,PA,12,15368,18,0,2,2,14,327,78,239,10,117.1,0,13,13,91.1,2127.8,507.5,1555.2,65.1
Newton Twp (Delaware Co) Police Dept,PA,12,12244,13,0,0,2,11,132,27,100,5,106.2,0,0,16.3,89.8,1078.1,220.5,816.7,40.8
Newtown Twp (Bucks Co) Police Dept,PA,12,22382,9,0,0,2,7,205,43,161,1,40.2,0,0,8.9,31.3,915.9,192.1,719.3,4.5
Norristown Boro Police Dept,PA,12,34584,317,4,10,173,130,1002,293,613,96,916.6,11.6,28.9,500.2,375.9,2897.3,847.2,1772.5,277.6
North Fayette Twp Police Dept,PA,12,13988,7,0,0,3,4,250,26,223,1,50,0,0,21.4,28.6,1787.2,185.9,1594.2,7.1
North Huntingdon Twp Police Dept,PA,12,30599,21,0,8,3,10,464,51,402,11,68.6,0,26.1,9.8,32.7,1516.4,166.7,1313.8,35.9
North Lebanon Twp Police Dept,PA,12,11512,18,0,1,0,17,276,30,243,3,156.4,0,8.7,0,147.7,2397.5,260.6,2110.8,26.1
North Middleton Twp Police Dept,PA,12,11243,4,0,1,1,2,141,20,115,6,35.6,0,8.9,8.9,17.8,1254.1,177.9,1022.9,53.4
North Strabane Twp Police Dept,PA,12,13460,6,0,2,0,4,140,26,109,5,44.6,0,14.9,0,29.7,1040.1,193.2,809.8,37.1
North Versailles Twp Police Dept,PA,12,10269,54,1,0,12,41,195,32,153,10,525.9,9.7,0,116.9,399.3,1898.9,311.6,1489.9,97.4
Northampton Twp (Bucks Co) Police Dept,PA,12,39883,16,0,3,4,9,311,58,247,6,40.1,0,7.5,10,22.6,779.8,145.4,619.3,15
Northeastern Regional Police Dept,PA,12,11485,16,0,7,2,7,160,25,127,8,139.3,0,60.9,17.4,60.9,1393.1,217.7,1105.8,69.7
Northern Lancaster,PA,12,33197,32,0,6,2,24,378,53,310,15,96.4,0,18.1,6,72.3,1138.7,159.7,933.8,45.2
Pine-Bradfordwoods-Marshall Joint Police Dept,PA,12,30795,11,0,2,1,8,297,45,246,6,35.7,0,6.5,3.2,26,964.4,146.1,798.8,19.5
Northern York County Regional Police,PA,12,66974,66,2,3,14,47,1163,101,1020,42,98.5,3,4.5,20.9,70.2,1736.5,150.8,1523,62.7
Mount Joy Twp Police Dept,PA,12,18306,5,0,2,1,2,172,0,166,6,27.3,0,10.9,5.5,10.9,939.6,0,906.8,32.8
Oil City Police Dept,PA,12,10516,26,1,6,2,17,219,20,196,3,247.2,9.5,57.1,19,161.7,2082.5,190.2,1863.8,28.5
Palmer Twp (Northampton Co) Police Dept,PA,12,20767,19,0,2,6,11,358,48,303,7,91.5,0,9.6,28.9,53,1723.9,231.1,1459,33.7
Patton Twp (Centre Co) Police Dept,PA,12,15375,3,0,1,1,1,173,20,151,2,19.5,0,6.5,6.5,6.5,1125.2,130.1,982.1,13
Penn Hills Twp Police Dept,PA,12,42488,131,5,6,40,80,841,309,480,52,308.3,11.8,14.1,94.1,188.3,1979.4,727.3,1129.7,122.4
Penn Twp (Westmoreland Co) Police Dept,PA,12,19999,14,0,0,0,14,76,19,56,1,70,0,0,0,70,380,95,280,5
Penn Twp (York Co) Police Dept,PA,12,15697,19,0,0,1,18,264,28,226,10,121,0,0,6.4,114.7,1681.9,178.4,1439.8,63.7
Pennridge Regional Police Dept,PA,12,11006,16,0,1,0,15,128,44,79,5,145.4,0,9.1,0,136.3,1163,399.8,717.8,45.4
Peters Twp (Washington Co) Police Dept,PA,12,21296,6,0,0,2,4,141,45,94,2,28.2,0,0,9.4,18.8,662.1,211.3,441.4,9.4
Philadelphia Police Dept,PA,12,1538957,17853,331,880,7984,8658,56997,12004,38592,6401,1160.1,21.5,57.2,518.8,562.6,3703.6,780,2507.7,415.9
Phoenixville Boro Police Dept,PA,12,16612,43,0,0,3,40,435,44,385,6,258.8,0,0,18.1,240.8,2618.6,264.9,2317.6,36.1
Pittsburgh,PA,12,312112,2347,41,47,1134,1125,10691,2537,7610,544,752,13.1,15.1,363.3,360.4,3425.4,812.8,2438.2,174.3
Plum Boro Police Dept,PA,12,27227,100,0,0,5,95,193,48,138,7,367.3,0,0,18.4,348.9,708.9,176.3,506.8,25.7
Plumstead Twp Police Dept,PA,12,12492,5,0,1,0,4,148,30,110,8,40,0,8,0,32,1184.8,240.2,880.6,64
Plymouth Twp (Montgomery Co) Police Dept,PA,12,16651,24,1,1,17,5,560,61,471,28,144.1,6,6,102.1,30,3363.2,366.3,2828.7,168.2
Pocono Mountain Regional Police Dept,PA,12,39122,58,2,11,12,33,888,320,542,26,148.3,5.1,28.1,30.7,84.4,2269.8,818,1385.4,66.5
Pocono Twp Police Dept,PA,12,11078,17,0,0,7,10,260,55,202,3,153.5,0,0,63.2,90.3,2347,496.5,1823.4,27.1
Pottstown Boro (Montgomery Co) Police Dept,PA,12,22546,161,1,20,61,79,962,158,768,36,714.1,4.4,88.7,270.6,350.4,4266.8,700.8,3406.4,159.7
Pottsville City (Schuylkill Co) Police Dept,PA,12,14272,54,1,11,3,39,253,33,211,9,378.4,7,77.1,21,273.3,1772.7,231.2,1478.4,63.1
Radnor Twp Police Dept,PA,12,31598,35,0,2,10,23,393,48,343,2,110.8,0,6.3,31.6,72.8,1243.7,151.9,1085.5,6.3
Reading City (Berks Co) Police Dept,PA,12,88557,828,15,44,382,387,3612,1447,1629,536,935,16.9,49.7,431.4,437,4078.7,1634,1839.5,605.3
Richland Twp (Cambria Co) Police Dept,PA,12,12919,4,0,1,1,2,576,14,556,6,31,0,7.7,7.7,15.5,4458.5,108.4,4303.7,46.4
Richland Township,PA,12,13104,9,0,5,2,2,268,17,246,5,68.7,0,38.2,15.3,15.3,2045.2,129.7,1877.3,38.2
Ridley Twp Police Dept,PA,12,30837,50,0,4,17,29,507,74,404,29,162.1,0,13,55.1,94,1644.1,240,1310.1,94
Robinson Twp (Allegheny Co) Police Dept,PA,12,13405,27,0,0,2,25,340,25,307,8,201.4,0,0,14.9,186.5,2536.4,186.5,2290.2,59.7
Ross Twp (Allegheny Co) Police Dept,PA,12,31222,38,0,2,11,25,729,78,641,10,121.7,0,6.4,35.2,80.1,2334.9,249.8,2053,32
Rostraver Twp Police Dept,PA,12,11358,25,0,2,9,14,392,32,346,14,220.1,0,17.6,79.2,123.3,3451.3,281.7,3046.3,123.3
Salisbury Twp (Lehigh Co) Police Dept,PA,12,13657,8,2,1,1,4,277,37,218,22,58.6,14.6,7.3,7.3,29.3,2028.3,270.9,1596.3,161.1
Sandy Twp Police Dept,PA,12,10600,35,0,1,0,34,344,59,280,5,330.2,0,9.4,0,320.8,3245.3,556.6,2641.5,47.2
Scott Twp (Allegheny Co) Police Dept,PA,12,17087,10,0,0,5,5,205,47,157,1,58.5,0,0,29.3,29.3,1199.7,275.1,918.8,5.9
Scranton City Police Dept,PA,12,76118,252,0,23,129,100,2553,641,1796,116,331.1,0,30.2,169.5,131.4,3354,842.1,2359.5,152.4
Shaler Twp Police Dept,PA,12,28865,12,0,0,6,6,367,77,288,2,41.6,0,0,20.8,20.8,1271.4,266.8,997.7,6.9
Sharon City (Mercer Co) Police Dept,PA,12,13986,87,1,13,42,31,603,212,372,19,622.1,7.2,93,300.3,221.7,4311.5,1515.8,2659.8,135.9
Silver Spring Twp Police Dept,PA,12,13777,2,0,0,1,1,230,18,201,11,14.5,0,0,7.3,7.3,1669.4,130.7,1459,79.8
South Fayette Twp Police Dept,PA,12,14470,3,0,0,2,1,97,20,76,1,20.7,0,0,13.8,6.9,670.4,138.2,525.2,6.9
South Park Twp Police Dept,PA,12,13466,4,0,0,1,3,50,14,32,4,29.7,0,0,7.4,22.3,371.3,104,237.6,29.7
South Whitehall Twp Police Dept,PA,12,19394,31,1,7,4,19,736,73,653,10,159.8,5.2,36.1,20.6,98,3795,376.4,3367,51.6
Southern Regional Police Dept,PA,12,10649,11,0,0,7,4,150,22,126,2,103.3,0,0,65.7,37.6,1408.6,206.6,1183.2,18.8
Belle Vernon Boro Police Dept,PA,12,13870,29,0,0,3,26,120,39,81,0,209.1,0,0,21.6,187.5,865.2,281.2,584,0
North Codorus Twp Police Dept,PA,12,17625,12,1,0,2,9,107,17,88,2,68.1,5.7,0,11.3,51.1,607.1,96.5,499.3,11.3
Spring Garden Twp Police Dept,PA,12,12785,26,0,3,7,16,411,42,360,9,203.4,0,23.5,54.8,125.1,3214.7,328.5,2815.8,70.4
Spring Twp (Berks Co) Police Dept,PA,12,27212,15,0,1,5,9,338,36,291,11,55.1,0,3.7,18.4,33.1,1242.1,132.3,1069.4,40.4
Springettsberry Twp Police Dept,PA,12,26801,34,1,5,18,10,1005,50,938,17,126.9,3.7,18.7,67.2,37.3,3749.9,186.6,3499.9,63.4
Springfield Twp (Delaware Co) Police Dept,PA,12,24264,11,0,1,6,4,681,58,610,13,45.3,0,4.1,24.7,16.5,2806.6,239,2514,53.6
Springfield Twp (Montgomery Co) Police Dept,PA,12,19563,25,1,2,7,15,229,52,175,2,127.8,5.1,10.2,35.8,76.7,1170.6,265.8,894.5,10.2
St. Mary'S Boro Police Dept,PA,10,13012,8,0,1,1,6,207,31,173,3,,,,,,,,,
Boro Of State College Police Dept,PA,12,57020,53,1,11,12,29,787,115,658,14,92.9,1.8,19.3,21,50.9,1380.2,201.7,1154,24.6
Stroud Twp Police Dept,PA,12,34775,95,0,16,45,34,1536,184,1338,14,273.2,0,46,129.4,97.8,4417,529.1,3847.6,40.3
Susquehanna Twp (Dauphin Co) Police Dept,PA,12,24145,54,3,8,17,26,388,87,286,15,223.6,12.4,33.1,70.4,107.7,1607,360.3,1184.5,62.1
Southwest Mercer County Regional Police Dept,PA,12,10496,44,0,2,11,31,227,59,160,8,419.2,0,19.1,104.8,295.4,2162.7,562.1,1524.4,76.2
Swatara Twp (Dauphin Co) Police Dept,PA,12,23464,112,0,0,17,95,754,107,637,10,477.3,0,0,72.5,404.9,3213.4,456,2714.8,42.6
Towamencin Twp Police Dept,PA,12,17715,21,0,3,1,17,158,15,138,5,118.5,0,16.9,5.6,96,891.9,84.7,779,28.2
Tredyffrin Twp Police Dept,PA,12,29643,8,0,1,0,7,280,46,228,6,27,0,3.4,0,23.6,944.6,155.2,769.2,20.2
Uniontown City (Fayette Co) Police Dept,PA,12,10351,56,1,1,26,28,453,74,366,13,541,9.7,9.7,251.2,270.5,4376.4,714.9,3535.9,125.6
Upper Allen Twp Police Dept,PA,12,18547,0,0,0,0,0,179,28,147,4,0,0,0,0,0,965.1,151,792.6,21.6
Upper Chichester Twp Police Dept,PA,12,16774,36,0,4,15,17,483,96,363,24,214.6,0,23.8,89.4,101.3,2879.5,572.3,2164.1,143.1
Upper Darby Twp Police Dept,PA,12,82978,517,3,16,270,228,1975,223,1639,113,623.1,3.6,19.3,325.4,274.8,2380.1,268.7,1975.2,136.2
Upper Dublin Twp Police Dept,PA,12,25766,25,0,0,4,21,301,54,236,11,97,0,0,15.5,81.5,1168.2,209.6,915.9,42.7
Upper Gwynedd Twp Police Dept,PA,12,15670,12,0,0,1,11,87,20,67,0,76.6,0,0,6.4,70.2,555.2,127.6,427.6,0
Upper Merion Twp Police Dept,PA,12,28613,21,2,1,11,7,1366,65,1276,25,73.4,7,3.5,38.4,24.5,4774.1,227.2,4459.5,87.4
Upper Moreland Twp Police Dept,PA,12,24199,9,0,3,5,1,485,57,418,10,37.2,0,12.4,20.7,4.1,2004.2,235.5,1727.3,41.3
Upper Providence Twp (Delaware) Police Dept,PA,12,10164,5,0,0,0,5,59,28,28,3,49.2,0,0,0,49.2,580.5,275.5,275.5,29.5
Upper Providence Twp (Montgomery) Police Dept,PA,12,21382,13,0,3,2,8,344,58,277,9,60.8,0,14,9.4,37.4,1608.8,271.3,1295.5,42.1
Upper Saucon Twp Police Dept,PA,12,15076,13,0,4,3,6,174,32,141,1,86.2,0,26.5,19.9,39.8,1154.2,212.3,935.3,6.6
Upper Southampton Twp Police Dept,PA,12,15211,4,0,3,0,1,168,35,126,7,26.3,0,19.7,0,6.6,1104.5,230.1,828.3,46
Upper St Clair Twp Police Dept,PA,12,19300,7,0,0,1,6,102,13,88,1,36.3,0,0,5.2,31.1,528.5,67.4,456,5.2
Upper Uwchlan Twp Police Dept,PA,12,11346,2,1,1,0,0,90,8,79,3,17.6,8.8,8.8,0,0,793.2,70.5,696.3,26.4
Uwchlan Twp Police Dept,PA,12,18281,15,0,1,4,10,227,31,191,5,82.1,0,5.5,21.9,54.7,1241.7,169.6,1044.8,27.4
Warminster Twp Police Dept,PA,12,32810,27,1,6,14,6,482,70,406,6,82.3,3,18.3,42.7,18.3,1469.1,213.3,1237.4,18.3
Warrington Twp (Bucks Co) Police Dept,PA,12,23509,16,0,3,2,11,240,41,192,7,68.1,0,12.8,8.5,46.8,1020.9,174.4,816.7,29.8
Warwick Twp (Bucks Co) Police Dept,PA,12,14493,14,0,3,0,11,91,15,76,0,96.6,0,20.7,0,75.9,627.9,103.5,524.4,0
Washington City (Washington Co) Police Dept,PA,12,13713,89,3,9,40,37,608,98,468,42,649,21.9,65.6,291.7,269.8,4433.7,714.7,3412.8,306.3
Washington Twp (Franklin Co) Police Dept,PA,12,14146,7,0,1,2,4,259,40,215,4,49.5,0,7.1,14.1,28.3,1830.9,282.8,1519.9,28.3
Boro Of Waynesboro (Franklin Co) Police Dept,PA,12,10670,18,0,1,4,13,220,33,179,8,168.7,0,9.4,37.5,121.8,2061.9,309.3,1677.6,75
West Chester Boro Police Dept,PA,12,19279,75,1,12,25,37,571,122,425,24,389,5.2,62.2,129.7,191.9,2961.8,632.8,2204.5,124.5
West Deer Twp Police Dept,PA,12,11816,1,0,0,1,0,116,36,66,14,8.5,0,0,8.5,0,981.7,304.7,558.6,118.5
West Goshen Twp Police Dept,PA,12,22096,17,0,1,1,15,405,38,351,16,76.9,0,4.5,4.5,67.9,1832.9,172,1588.5,72.4
West Hempfield Twp Police Dept,PA,12,16313,13,0,0,6,7,250,24,214,12,79.7,0,0,36.8,42.9,1532.5,147.1,1311.8,73.6
West Hills Regional Police Dept,PA,12,10839,8,1,3,4,0,83,27,53,3,73.8,9.2,27.7,36.9,0,765.8,249.1,489,27.7
West Lampeter Twp Police Dept,PA,12,15357,6,0,0,2,4,180,24,153,3,39.1,0,0,13,26,1172.1,156.3,996.3,19.5
West Manchester Twp Police Dept,PA,12,18996,32,0,2,11,19,714,47,653,14,168.5,0,10.5,57.9,100,3758.7,247.4,3437.6,73.7
West Mifflin Boro Police Dept,PA,12,20389,38,4,2,19,13,447,76,355,16,186.4,19.6,9.8,93.2,63.8,2192.4,372.8,1741.1,78.5
West Norriton Twp Police Dept,PA,12,15784,29,0,10,3,16,361,38,313,10,183.7,0,63.4,19,101.4,2287.1,240.8,1983,63.4
West Whiteland Twp Police Dept,PA,12,18464,10,0,3,4,3,472,39,428,5,54.2,0,16.2,21.7,16.2,2556.3,211.2,2318,27.1
Westtown/East Goshen Twps Police Dept,PA,12,32207,30,0,1,6,23,325,50,265,10,93.1,0,3.1,18.6,71.4,1009.1,155.2,822.8,31
Whitehall Boro (Allegheny Co) Police Dept,PA,12,13996,16,1,0,3,12,57,15,40,2,114.3,7.1,0,21.4,85.7,407.3,107.2,285.8,14.3
Whitehall Twp (Lehigh Co) Police Dept,PA,12,27042,30,1,2,22,5,1365,102,1232,31,110.9,3.7,7.4,81.4,18.5,5047.7,377.2,4555.9,114.6
Whitemarsh Twp Police Dept,PA,12,17481,23,0,3,5,15,219,38,166,15,131.6,0,17.2,28.6,85.8,1252.8,217.4,949.6,85.8
Whitpain Twp Police Dept,PA,12,19020,23,0,2,4,17,244,37,202,5,120.9,0,10.5,21,89.4,1282.9,194.5,1062,26.3
Wilkes Barre City Police Dept,PA,12,41532,172,3,30,76,63,1243,271,869,103,414.1,7.2,72.2,183,151.7,2992.9,652.5,2092.4,248
Wilkinsburg Boro Police Dept,PA,1,15990,0,0,0,0,0,0,0,0,0,,,,,,,,,
Williamsport City (Lycoming Co) Police Dept,PA,12,29582,111,2,5,62,42,1235,266,926,43,375.2,6.8,16.9,209.6,142,4174.8,899.2,3130.3,145.4
Willistown Twp Police Dept,PA,12,10606,5,0,0,1,4,144,15,125,4,47.1,0,0,9.4,37.7,1357.7,141.4,1178.6,37.7
Wyomissing Boro Police Dept,PA,12,10496,16,0,0,11,5,525,24,493,8,152.4,0,0,104.8,47.6,5001.9,228.7,4697,76.2
Yeadon Boro Police Dept,PA,12,11468,58,0,0,43,15,275,47,203,25,505.8,0,0,375,130.8,2398,409.8,1770.1,218
York City Police Dept,PA,12,43955,587,11,44,189,343,1582,433,1050,99,1335.5,25,100.1,430,780.3,3599.1,985.1,2388.8,225.2
York Twp Police Dept,PA,12,60732,73,1,14,16,42,639,158,461,20,120.2,1.6,23.1,26.3,69.2,1052.2,260.2,759.1,32.9
Albany City Police Dept,OR,12,51084,44,0,10,23,11,1580,224,1262,94,86.1,0,19.6,45,21.5,3092.9,438.5,2470.4,184
Ashland Police Dept,OR,12,20376,35,0,10,5,20,619,62,543,14,171.8,0,49.1,24.5,98.2,3037.9,304.3,2664.9,68.7
Beaverton Police Dept,OR,12,92276,141,0,21,36,84,1471,196,1165,110,152.8,0,22.8,39,91,1594.1,212.4,1262.5,119.2
Bend City Police Dept,OR,6,78458,57,0,7,4,46,611,94,498,19,,,,,,,,,
Canby Police Dept,OR,12,16121,17,0,6,3,8,284,51,222,11,105.5,0,37.2,18.6,49.6,1761.7,316.4,1377.1,68.2
Central Point City Police Dept,OR,12,17431,26,0,4,1,21,609,61,523,25,149.2,0,22.9,5.7,120.5,3493.8,350,3000.4,143.4
Clackamas County Sheriff Department,OR,12,,218,8,55,85,70,5610,1000,4108,502,,,,,,,,,
Coos County Sheriff Office,OR,12,,28,0,1,1,26,473,123,321,29,,,,,,,,,
Coos Bay Police Dept,OR,5,16016,32,0,1,3,28,352,61,275,16,,,,,,,,,
Cornelius Police Dept,OR,12,12193,28,0,3,8,17,357,68,267,22,229.6,0,24.6,65.6,139.4,2927.9,557.7,2189.8,180.4
Corvallis Police Dept,OR,12,55062,67,1,11,15,40,1418,235,1153,30,121.7,1.8,20,27.2,72.6,2575.3,426.8,2094,54.5
Dallas Police Dept,OR,12,14802,29,0,4,1,24,375,56,308,11,195.9,0,27,6.8,162.1,2533.4,378.3,2080.8,74.3
Deschutes County Sheriff Office,OR,12,,118,0,9,5,104,897,252,601,44,,,,,,,,,
Douglas County Sheriff Office,OR,12,,51,0,14,7,30,1360,389,893,78,,,,,,,,,
Eugene Police Dept,OR,12,158043,430,0,72,196,162,8004,1515,6054,435,272.1,0,45.6,124,102.5,5064.4,958.6,3830.6,275.2
Forest Grove Police Dept,OR,12,21641,83,0,10,8,65,711,104,561,46,383.5,0,46.2,37,300.4,3285.4,480.6,2592.3,212.6
